,,,,,,,,,,,,,,,,,,,,,
Start,Start Country,Start Lat,Start Long,End,End Country,End Lat,End Long,Year, Price , lower bound , upper bound ,CCY, USD equiv , USD equiv avg ,1 person?,Nationality of Migrant,Nationality of Smuggler,Service,Via,Source,Comment
Kufrah,Libya,,,Benghazi,Libya,,,2013,  150 ,,,USD,  150 ,  150 ,TRUE,,,Overland (multiple modes),Ajdabiya,"Altai Consulting, November 2013, http://www.refworld.org/pdfid/52b43f594.pdf","Kufra to Rebiana or Tazerbo, then to Ajdabiya, then bus to Benghazi"
Kufrah,Libya,,,Benghazi,Libya,,,2006,  150 ,,,USD,  150 ,  150 ,TRUE,,,Overland,,"RMMS, 2014, http://www.regionalmms.org/fileadmin/content/rmms_publications/Going_West_migration_trends_Libya___Europe_final.pdf",
Kufrah,Libya,,,Benghazi,Libya,,,2005,  150 ,,,USD,  150 ,  150 ,TRUE,Sudanese,,Overland,,"Sarah Hamood, 2006, http://www.aucegypt.edu/GAPP/cmrs/reports/Documents/African_Transit_Migration_through_Libya_-_Jan_2006_000.pdf",Price for Sudanese and other Horn of Africa nationals
Hungary,Hungary,,,Berlin,Germany,,,2015,  750 ,,,EUR,  830 ,  830 ,TRUE,Kosovar,,Train,,"Le Monde, 20 March 2015, http://www.lemonde.fr/europe/article/2015/03/20/subotica-nouvelle-porte-d-entree-dans-schengen_4597855_3214.html",Price for a Kosovar
Bosnia,Bosnia,,,Bosnia,Bosnia,,,2007,,  500 ,"  1,000 ",EUR, 670-1330 ,"  1,000 ",TRUE,,,Unknown,,"ICMPD Yearbook 2007, 2008, http://www.icmpd.org/fileadmin/ICMPD-Website/ICMPD_General/Publications/2008/ICMPD-2008-Yearbook-Illegal-Migration.pdf",Price to cross Bosnian territory
Montenegro,Montenegro,,,Bosnia,Bosnia,,,2010,,  200 ,  400 ,EUR, 250-500 ,  375 ,TRUE,,,Overland,,"ICMPD Yearbook 2010, http://www.icmpd.org/fileadmin/ICMPD-Website/ICMPD_General/Publications/2014/ICMPD_Yearbook2010_A5_final.pdf",
Greece,Greece,,,Bulgaria,Bulgaria,,,2015,"  2,200 ",,,EUR,"  2,440 ","  2,440 ",TRUE,Syrian,,Truck,,Greek Police http://www.astynomia.gr/index.php?option=ozo_content&perform=view&id=51796&Itemid=1476&lang= ,2 migrefs from Syria payed 2.200 each to be transfered out of Greece
Syria,Syria,,,Bulgaria,Bulgaria,,,2013,  600 ,,,USD,  600 ,  600 ,TRUE,Syrian,,Overland,Turkey,"Francesco Martino, September 2013, http://www.balcanicaucaso.org/eng/Regions-and-countries/Bulgaria/Bulgaria-the-arrival-of-Syrian-refugees-141854",Via Turkey
Turkey,Turkey,,,Bulgaria,Bulgaria,,,2010,,"  3,500 ","  5,000 ",EUR, 4380-6250 ,"  5,315 ",TRUE,,,Overland,,"ICMPD Yearbook 2010, http://www.icmpd.org/fileadmin/ICMPD-Website/ICMPD_General/Publications/2014/ICMPD_Yearbook2010_A5_final.pdf","Migrants brought over in ""special hiding places in vehicles"""
Turkey,Turkey,,,Bulgaria,Bulgaria,,,2010,"  3,000 ",,,EUR,"  3,750 ","  3,750 ",TRUE,,,Unknown,,"ICMPD Yearbook 2010, http://www.icmpd.org/fileadmin/ICMPD-Website/ICMPD_General/Publications/2014/ICMPD_Yearbook2010_A5_final.pdf","For ""illegal transfers across the green (land) border"""
Turkey,Turkey,,,Bulgaria,Bulgaria,,,2012,"  1,400 ",,,EUR,"  1,750 ","  1,750 ",FALSE,Syrian,,Overland,,https://damomac.wordpress.com/2015/05/05/mariams-story-one-syrian-girls-journey-to-europe/,Price for a Syrian man and his daughter
Turkey,Turkey,,,Bulgaria,Bulgaria,,,2015,"  2,500 ",,,EUR,"  2,780 ","  2,780 ",TRUE,Syrian,,Truck,,http://www.opensocietyfoundations.org/voices/europe-s-migration-crossing-points-captured-six-films#bulgaria,Price for a Syrian
Turkey,Turkey,,,Bulgaria,Bulgaria,,,2009,,"  1,000 ","  1,500 ",EUR, 1410-2120 ,"  1,765 ",TRUE,,,Overland,,"ICMPD Yearbook 2009, 2011, http://www.icmpd.org/fileadmin/ICMPD-Website/ICMPD_General/Publications/2011/ICMPD_Yearbook2009.pdf",Price for unaccompanied trip across the border
Turkey,Turkey,,,Bulgaria,Bulgaria,,,2009,"  2,000 ",,,EUR,"  2,820 ","  2,820 ",TRUE,,,Overland,,"ICMPD Yearbook 2009, 2011, http://www.icmpd.org/fileadmin/ICMPD-Website/ICMPD_General/Publications/2011/ICMPD_Yearbook2009.pdf",Price to be hidden in smuggler's vehicle
Turkey,Turkey,,,Bulgaria,Bulgaria,,,2008,,"  1,500 ","  2,000 ",EUR, 2380-3170 ,"  2,775 ",TRUE,,,Foot,,"ICMPD Yearbook 2008, 2010, http://www.icmpd.org/fileadmin/ICMPD-Website/ICMPD_General/Publications/2010/ICMPD-Yearbook-of-Illegal-Migration-in-2008-with_cover.pdf",
Turkey,Turkey,,,Bulgaria,Bulgaria,,,2008,,"  3,000 ","  4,000 ",EUR, 4760-6350 ,"  5,555 ",TRUE,,,Overland,,"ICMPD Yearbook 2008, 2010, http://www.icmpd.org/fileadmin/ICMPD-Website/ICMPD_General/Publications/2010/ICMPD-Yearbook-of-Illegal-Migration-in-2008-with_cover.pdf",Price to be hidden in smuggler's vehicle
Turkey,Turkey,,,Bulgaria,Bulgaria,,,2007,"  1,500 ",,,EUR,"  2,000 ","  2,000 ",TRUE,,,Foot,,"ICMPD Yearbook 2007, 2008, http://www.icmpd.org/fileadmin/ICMPD-Website/ICMPD_General/Publications/2008/ICMPD-2008-Yearbook-Illegal-Migration.pdf",
Turkey,Turkey,,,Bulgaria,Bulgaria,,,2007,"  2,000 ",,,EUR,"  2,670 ","  2,670 ",TRUE,,,Train,,"ICMPD Yearbook 2007, 2008, http://www.icmpd.org/fileadmin/ICMPD-Website/ICMPD_General/Publications/2008/ICMPD-2008-Yearbook-Illegal-Migration.pdf",Hiding in a train
Turkey,Turkey,,,Bulgaria,Bulgaria,,,2006,"  1,000 ",,,EUR,"  1,250 ","  1,250 ",TRUE,,,Foot,,"ICMPD Yearbook 2006, 2007, http://www.icmpd.org/fileadmin/ICMPD-Website/ICMPD_General/Publications/2007/_199_ICMPD_2006_Yearbook_Illegal_Migration_Version_17_7_2007_final_2pages_positive.pdf",
Turkey,Turkey,,,Bulgaria,Bulgaria,,,2006,"  1,300 ",,,EUR,"  1,625 ","  1,625 ",TRUE,,,Train,,"ICMPD Yearbook 2006, 2007, http://www.icmpd.org/fileadmin/ICMPD-Website/ICMPD_General/Publications/2007/_199_ICMPD_2006_Yearbook_Illegal_Migration_Version_17_7_2007_final_2pages_positive.pdf",
Anbar,Iraq,,,Bulgaria,Bulgaria,,,2015,"  2,000 ",,,USD,"  2,000 ","  2,000 ",TRUE,Iraqi,,Overland,Turkey,"Politico, 8 June 2015, http://www.politico.eu/article/the-next-frontier-in-europes-migrant-crisis-bulgaria/",Via Turkey
Sinai,Egypt,,,Cairo,Egypt,,,2014,"  1,000 ",,,USD,"  1,000 ","  1,000 ",TRUE,Eritrean,,Overland,,"Le Monde, 13 October 2014, http://www.lemonde.fr/afrique/visuel/2014/10/13/voyage-en-barbarie-dans-le-desert-du-sinai_4501271_3212.html",Price to get Eritreans who have escaped from Sinai prisons to Cairo
Sinai,Egypt,,,Cairo,Egypt,,,2012,"  1,000 ",,,USD,"  1,000 ","  1,000 ",TRUE,Eritrean,,Car,,"Van Reisen et al, Human Trafficking Cycle: Sinai and Beyond, December 2013",Price charged by Sinai kidnappers to drive a ransomed migrant to Cairo
Syria,Syria,,,Calais,France,,,2013,"  6,000 ",,,EUR,"  8,000 ","  8,000 ",TRUE,Syrian,,Overland and boat,Sicily,"Vice News, 7 October 2013, http://www.vice.com/en_uk/read/the-uk-government-is-blocking-syrian-asylum-seekers-from-entering-the-country",Via Sicily
